date,开盘,收盘,最高,最低,成交量,成交额,code,log_return,is_extreme
2020-01-01,9.659194800486905,9.798708076157626,10.185821776779065,9.459273273728558,654991,641806560.1510559,000063,,False
2020-01-02,9.276446061934584,9.33428816619064,9.741879779713363,8.950849293995855,729632,681059534.3274008,000063,-0.04855602822794527,False
2020-01-03,9.56057522158699,9.436847720581108,9.987585409516644,8.952456589941935,607617,573398910.1436331,000063,0.010927476691656118,False
2020-01-06,9.464350680600807,9.401495681403368,9.820426730984204,9.259607760251146,664249,624493410.4876506,000063,-0.0037532048251140743,False
2020-01-07,9.512147288307288,9.459564065264054,9.928680374044916,9.0649729767398,994730,940971216.2640114,000063,0.006157508444592526,False
2020-01-08,9.830635700863809,9.85630870636422,10.202704230967871,9.482756617526425,393759,388101025.9909269,000063,0.04108542786309216,False
2020-01-09,9.97923045408936,10.023680691223822,10.39744761113964,9.754389261011193,260635,261252201.6957121,000063,0.016838634690312604,False
2020-01-10,9.935001311410494,10.139974426414648,10.259856561282058,9.545555193146493,677020,686496548.6171244,000063,0.011535113450608156,False
2020-01-13,9.93412162609687,9.859863537596745,10.092888219132638,9.652041516318668,590130,581860126.9441966,000063,-0.028013147591579045,False
2020-01-14,9.66179336774239,9.632826547546236,9.928665887280877,9.542889184807414,759108,731235569.4854728,000063,-0.023295630973139587,False
2020-01-15,9.510549497582554,9.618438533641926,9.860895650005746,9.496716325588718,967263,930355971.1366092,000063,-0.001494760632360486,False
2020-01-16,9.654816041350363,9.42761915147998,9.722792439332022,9.345892482209228,863326,813910873.1570604,000063,-0.02003834812803552,False
2020-01-17,9.58514545365744,9.532418872649872,10.07525539893347,9.316082408573516,926641,883313015.657115,000063,0.011054913322626108,False
2020-01-20,9.691777595859092,9.708961867302412,9.76583278314497,9.584130061708748,176647,171505898.6973369,000063,0.018350860710956665,False
2020-01-21,9.574106716073976,9.733184033641932,9.969340347682245,9.41590436736109,78018,75936355.19366762,000063,0.002491718660604389,False
2020-01-22,9.969549810002148,10.0396745478606,10.43142525914433,9.745920677278864,193447,194214492.22599897,000063,0.031003616707362607,False
2020-01-23,10.187813312573113,10.18710205708486,10.195578770165962,9.90446953869699,311517,317345547.1516904,000063,0.014577717736350663,False
2020-01-24,10.213384358826902,10.1614001285993,10.563662599548648,9.763426118648775,812688,825804794.7711108,000063,-0.0025261753341083103,False
2020-01-27,10.102135846388167,10.025712348265769,10.56945918793552,9.634131353770346,424967,426059689.9505459,000063,-0.013443212736888293,False
2020-01-28,10.09774468939054,10.012312402420248,10.275999812689452,9.87410978092166,507358,507982679.5867132,000063,-0.001337451970411691,False
2020-01-29,10.01407806972911,10.006143449608178,10.250399791794406,9.808807438571586,534050,534378090.9263248,000063,-0.0006163265591458477,False
2020-01-30,9.607407607355071,9.720272442696036,10.083581703906852,9.569550455688036,302618,294152940.6063789,000063,-0.028985602158756518,False
2020-01-31,9.526577313724264,9.644226506226614,9.895419424414492,9.127703181331425,771497,744049181.6874315,000063,-0.007854200369382515,False
2020-02-03,9.719046579038496,9.464531497448114,9.9559775358036,9.448293744990778,124553,117883579.16016547,000063,-0.018808161778609042,False
2020-02-04,9.291170191495892,9.356079016414265,9.368087230601496,8.957912474410572,934571,874392012.2449296,000063,-0.011524990795430397,False
2020-02-05,9.643976902475329,9.609890777495812,9.969805905818038,9.450216348145148,780020,749590700.4262283,000063,0.026766563192422217,False
2020-02-06,9.238511301809792,9.228234623201832,9.45687518983678,8.851740199363379,999912,922742253.855499,000063,-0.04052509228312689,False
2020-02-07,9.24658250748814,9.167457532163354,9.35146278701822,8.907140875469516,603102,552891197.2562784,000063,-0.006607776610530183,False
2020-02-10,9.032854022814488,8.883167331084454,9.21805322812185,8.62094679901725,720108,639683986.0452565,000063,-0.03150181368202846,False
2020-02-11,8.848377717783302,8.906525867763028,9.239222983756882,8.425779536543361,288048,256550696.31574047,000063,0.0026260767784349764,False
2020-02-12,8.85328449408777,8.771288208691507,9.028363159415507,8.433797439403467,629387,552053477.1803722,000063,-0.015300567911939074,False
2020-02-13,8.723674332208125,8.645850378214707,8.900964520717432,8.334782606226547,928470,802741270.066101,000063,-0.014404202926282333,False
2020-02-14,8.373305685945002,8.496285269161982,8.761458469756542,8.221552973175553,161264,137014494.76461378,000063,-0.01745043996236634,False
2020-02-17,8.404200976678354,8.410761431948501,8.525847107006065,8.308889861487831,515413,433501578.1924872,000063,-0.01011703205203714,False
2020-02-18,8.386825640422543,8.343370155231646,8.877005391765618,7.929287013269228,696389,581023119.903161,000063,-0.008044778664985621,False
2020-02-19,8.355171307576445,8.119822329984112,8.574383933773333,7.621921101741706,178365,144829210.98876163,000063,-0.027158956707258406,False
2020-02-20,8.289163989235405,8.23487084542942,8.396344848303727,8.215749733559772,934324,769403746.7784997,000063,0.014069406501110908,False
2020-02-21,8.465782573324837,8.132890369047608,8.545994934707656,8.077818148959665,29227,23769998.68161545,000063,-0.012461300565608575,False
2020-02-24,8.007103720884867,8.020207792352995,8.355757700379634,7.874895766063402,877949,704133341.108852,000063,-0.013952048512146957,False
2020-02-25,8.185842848787576,8.380398995489854,8.500216919718563,7.9386455434439345,785155,657991217.3303837,000063,0.043931195373757746,False
2020-02-26,8.35409170773343,8.335178813465424,8.751341713494387,8.303393832352008,841776,701635348.0883671,000063,-0.005410556889664659,False
2020-02-27,8.381689760363683,8.340043694143217,8.423616561641206,8.105279399305747,238929,199267829.97979447,000063,0.0005834861650087484,False
2020-02-28,8.404547990083733,8.426008333763653,8.677607208565876,7.950157144828822,451908,380778057.4094465,000063,0.010254697146867822,False
2020-03-02,8.731000051684093,8.613190101109044,9.104994916975077,8.190036998597396,32122,27667289.242782477,000063,0.02197160837011838,False
